Latitude,Longitude,Value,dataDate,time,shortName
11.500,43.000,8.0796069835e-09,20200101,1200,pm10
11.500,43.750,4.8530781616e-09,20200101,1200,pm10
11.500,44.500,2.3279385086e-09,20200101,1200,pm10
10.750,43.000,9.2935359408e-09,20200101,1200,pm10
10.750,43.750,4.4211374561e-09,20200101,1200,pm10
10.750,44.500,2.0031880599e-09,20200101,1200,pm10
10.000,43.000,7.9265738417e-09,20200101,1200,pm10
10.000,43.750,4.0230474507e-09,20200101,1200,pm10
10.000,44.500,2.9960418590e-09,20200101,1200,pm10
11.500,43.000,9.3423728753e-09,20200101,1500,pm10
11.500,43.750,4.7736621323e-09,20200101,1500,pm10
11.500,44.500,2.3571880003e-09,20200101,1500,pm10
10.750,43.000,1.1501806396e-08,20200101,1500,pm10
10.750,43.750,4.4560992674e-09,20200101,1500,pm10
10.750,44.500,2.0034567338e-09,20200101,1500,pm10
10.000,43.000,9.2756466952e-09,20200101,1500,pm10
10.000,43.750,3.8954126591e-09,20200101,1500,pm10
10.000,44.500,3.9175185318e-09,20200101,1500,pm10
11.500,43.000,9.1577287975e-09,20200102,1200,pm10
11.500,43.750,8.1624449422e-09,20200102,1200,pm10
11.500,44.500,6.7953389582e-09,20200102,1200,pm10
10.750,43.000,1.1892068663e-08,20200102,1200,pm10
10.750,43.750,8.4753879470e-09,20200102,1200,pm10
10.750,44.500,7.3148962443e-09,20200102,1200,pm10
10.000,43.000,1.0878164147e-08,20200102,1200,pm10
10.000,43.750,8.2500850596e-09,20200102,1200,pm10
10.000,44.500,8.9010736559e-09,20200102,1200,pm10
11.500,43.000,1.4391676295e-08,20200102,1500,pm10
11.500,43.750,9.7914165664e-09,20200102,1500,pm10
11.500,44.500,6.6638996543e-09,20200102,1500,pm10
10.750,43.000,2.0024246261e-08,20200102,1500,pm10
10.750,43.750,9.6133545568e-09,20200102,1500,pm10
10.750,44.500,6.3610183787e-09,20200102,1500,pm10
10.000,43.000,1.4622137279e-08,20200102,1500,pm10
10.000,43.750,7.6446280417e-09,20200102,1500,pm10
10.000,44.500,7.5123951504e-09,20200102,1500,pm10
11.500,43.000,1.0921264337e-08,20200103,1200,pm10
11.500,43.750,1.0389318295e-08,20200103,1200,pm10
11.500,44.500,1.0837226672e-08,20200103,1200,pm10
10.750,43.000,1.0680911711e-08,20200103,1200,pm10
10.750,43.750,6.3599681077e-09,20200103,1200,pm10
10.750,44.500,6.5514327297e-09,20200103,1200,pm10
10.000,43.000,6.1192797496e-09,20200103,1200,pm10
10.000,43.750,3.2098674829e-09,20200103,1200,pm10
10.000,44.500,6.8500010109e-09,20200103,1200,pm10
11.500,43.000,1.5069395509e-08,20200103,1500,pm10
11.500,43.750,1.2842861885e-08,20200103,1500,pm10
11.500,44.500,1.2434264285e-08,20200103,1500,pm10
10.750,43.000,1.7737701086e-08,20200103,1500,pm10
10.750,43.750,9.0708240919e-09,20200103,1500,pm10
10.750,44.500,8.3248412608e-09,20200103,1500,pm10
10.000,43.000,1.0520456506e-08,20200103,1500,pm10
10.000,43.750,4.9483626086e-09,20200103,1500,pm10
10.000,44.500,1.2391600634e-08,20200103,1500,pm10
11.500,43.000,1.6949400106e-08,20200104,1200,pm10
11.500,43.750,1.0081332213e-08,20200104,1200,pm10
11.500,44.500,7.1505450450e-09,20200104,1200,pm10
10.750,43.000,2.0568997172e-08,20200104,1200,pm10
10.750,43.750,1.2603042165e-08,20200104,1200,pm10
10.750,44.500,9.0615115411e-09,20200104,1200,pm10
10.000,43.000,2.0472588069e-08,20200104,1200,pm10
10.000,43.750,1.4971990758e-08,20200104,1200,pm10
10.000,44.500,1.4724484743e-08,20200104,1200,pm10
11.500,43.000,1.6453093110e-08,20200104,1500,pm10
11.500,43.750,9.6214929357e-09,20200104,1500,pm10
11.500,44.500,6.8453314128e-09,20200104,1500,pm10
10.750,43.000,2.1787567306e-08,20200104,1500,pm10
10.750,43.750,1.0541247875e-08,20200104,1500,pm10
10.750,44.500,7.3320496341e-09,20200104,1500,pm10
10.000,43.000,2.0755058117e-08,20200104,1500,pm10
10.000,43.750,1.2677329408e-08,20200104,1500,pm10
10.000,44.500,1.5600416958e-08,20200104,1500,pm10
11.500,43.000,5.9382432305e-09,20200105,1200,pm10
11.500,43.750,6.7554264405e-09,20200105,1200,pm10
11.500,44.500,7.0087979864e-09,20200105,1200,pm10
10.750,43.000,5.8384959090e-09,20200105,1200,pm10
10.750,43.750,2.7553976878e-09,20200105,1200,pm10
