lat,lon,pm10_value
44.244625,10.402732,10.85829
44.24447,10.415253,10.712419
44.244312,10.427773,10.478343
44.244156,10.440293,10.102576
44.244,10.452814,9.627444
44.24384,10.465334,9.581471
44.243675,10.477854,9.643227
44.243515,10.490375,9.769532
44.24335,10.502894,9.913763
44.243183,10.515414,9.920494
44.24302,10.527933,10.091709
44.24285,10.540453,11.033048
44.24268,10.552973,11.468432
44.242508,10.565492,10.908235
44.242336,10.5780115,10.33581
44.242165,10.59053,10.308353
44.24199,10.603049,10.60236
44.241814,10.615568,11.346565
44.241634,10.628087,12.628137
44.241455,10.640606,12.839435
44.241276,10.653124,12.440929
44.241093,10.665643,12.545028
44.24091,10.678161,12.442657
44.240726,10.69068,12.639633
44.24054,10.7031975,12.727656
44.240353,10.715715,13.341462
44.24016,10.728233,14.132365
44.23997,10.74075,14.078137
44.23978,10.753268,13.532187
44.23959,10.765786,13.9148855
44.239395,10.778303,14.835869
44.239197,10.79082,15.849257
44.239002,10.803337,17.014692
44.238804,10.815854,15.8006315
44.2386,10.828371,13.444896
44.238403,10.840888,12.895472
44.2382,10.853404,12.521193
44.237995,10.865921,12.148278
44.23779,10.878437,11.908221
44.237583,10.890953,12.011955
44.237377,10.903469,12.549387
44.237167,10.915985,12.843895
44.236958,10.928501,13.352933
44.236744,10.941017,13.478804
44.23653,10.953532,13.842357
44.236317,10.966047,13.823187
44.2361,10.978562,13.689037
44.23588,10.991077,14.618225
44.235664,11.0035925,15.77334
44.235443,11.016108,16.358765
44.23522,11.028623,16.091032
44.234997,11.041137,15.149457
44.234776,11.053651,15.537414
44.234547,11.066165,15.454506
44.23432,11.078679,13.420546
44.234093,11.091193,13.421531
44.233864,11.103707,13.26003
44.23363,11.11622,12.988289
44.2334,11.128734,12.763238
44.233166,11.141248,12.870325
44.23293,11.153761,13.556435
44.232693,11.166273,13.9519825
44.232456,11.178786,14.462263
44.232216,11.191299,15.172137
44.231976,11.203812,14.973663
44.23173,11.216324,15.068982
44.231487,11.228836,14.866458
44.231243,11.241348,14.437235
44.231,11.25386,14.061879
44.23075,11.266372,13.93836
44.2305,11.278884,14.13837
44.23025,11.291395,14.207223
44.23,11.303906,14.231845
44.229744,11.316418,14.370419
44.229492,11.328928,14.771484
44.229237,11.341439,14.937409
44.228977,11.35395,14.863713
44.228718,11.36646,14.638534
44.22846,11.37897,14.307973
44.2282,11.39148,14.343483
44.227936,11.403991,14.319932
44.227673,11.4165,14.179052
44.227406,11.429009,14.193027
44.22714,11.44152,14.655727
44.22687,11.454028,15.085352
44.2266,11.466537,15.192295
44.22633,11.479047,15.003826
44.22606,11.491555,14.655779
44.225784,11.504064,14.431082
44.22551,11.516572,14.495026
44.22523,11.52908,14.671899
44.224957,11.541589,14.842809
44.224674,11.554096,15.044128
44.224396,11.566604,15.729167
44.224113,11.579111,16.130096
44.22383,11.591619,15.647551
44.223545,11.604126,16.877487
44.22326,11.616632,19.423908
44.222973,11.629139,19.79508
44.222683,11.641645,18.96335
44.222393,11.654152,18.669512
44.222103,11.666658,17.535482
44.22181,11.679164,16.743359
44.221516,11.69167,16.607788
44.22122,11.704176,16.637793
44.220924,11.7166815,16.339622
44.220623,11.729186,15.955516
44.220325,11.741692,15.920087
